,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,20.0,14.5,,77.0,,,,,1007.7,16080.0
1,1980-02,20.7,14.3,28.8,57.0,,,,,1011.8,17760.0
2,1980-03,19.1,12.5,,9.0,,,,,1014.6,16980.0
3,1980-04,15.5,8.0,22.5,1.0,,,,,1020.5,14280.0
4,1980-05,11.2,,,44.0,,,,,1022.4,8760.0
5,1980-06,6.8,,,31.0,,,,,1020.3,10740.0
6,1980-07,6.1,,,36.0,,,,,1019.2,10200.0
7,1980-08,7.2,,,22.0,,,,,1022.8,14100.0
8,1980-09,10.7,,,27.0,,,,,1015.1,16080.0
9,1980-10,14.4,,,47.0,,,,,1014.6,17700.0
10,1980-11,15.0,,,55.0,,,,,1013.1,17700.0
11,1980-12,20.1,,,68.0,,,,,1012.9,17580.0
12,1981-01,24.1,,,32.0,,,,,1014.1,17820.0
13,1981-02,21.1,,,140.0,,,,,1011.8,12960.0
14,1981-03,17.3,,,19.0,,,,,1016.2,16740.0
15,1981-04,14.3,6.6,,12.0,,,,,1018.1,14340.0
16,1981-05,9.9,,,46.0,,,,,1020.1,8460.0
17,1981-06,6.7,,,110.0,,,,,1011.7,8760.0
18,1981-07,5.7,,,72.0,,,,,1018.4,10860.0
19,1981-08,7.1,,,57.0,,,,,1012.8,11880.0
20,1981-09,10.9,,,24.0,,,,,1018.9,15480.0
21,1981-10,14.0,,,29.0,,,,,1017.0,15480.0
22,1981-11,15.3,,,69.0,,,,,1012.9,13860.0
23,1981-12,19.1,,,36.0,,,,,1009.8,17400.0
24,1982-01,22.5,,,18.0,,,,,1011.3,17460.0
25,1982-02,21.8,,,18.0,,,,,1014.6,17460.0
26,1982-03,18.2,,,97.0,,,,,1016.7,11580.0
27,1982-04,13.5,,,7.0,,,,,1019.1,14040.0
28,1982-05,8.9,,,0.0,,,,,1020.0,12240.0
29,1982-06,5.5,,,14.0,,,,,1022.3,11520.0
30,1982-07,4.7,,,3.0,,,,,1022.2,12060.0
31,1982-08,8.4,,,11.0,,,,,1028.4,14760.0
32,1982-09,10.1,,,53.0,,,,,1018.9,13980.0
33,1982-10,13.1,,,11.0,,,,,1015.5,16980.0
34,1982-11,19.4,,,2.0,,,,,1016.5,20160.0
35,1982-12,20.3,,,26.0,,,,,1010.9,
36,1983-01,21.3,,,28.0,,,,,1011.4,20100.0
37,1983-02,23.5,,,33.0,,,,,1016.1,13560.0
38,1983-03,20.1,,,64.0,,,,,1016.6,14760.0
39,1983-04,12.3,,,47.0,,,,,1017.9,9720.0
40,1983-05,10.8,,,96.0,,,,,1021.7,8880.0
41,1983-06,6.6,,,29.0,,,,,1022.9,7860.0
42,1983-07,5.1,,,29.0,,,,,1021.1,10080.0
43,1983-08,7.2,,,50.0,,,,,1022.9,11460.0
44,1983-09,9.5,,,61.0,,,,,1014.5,12780.0
45,1983-10,13.2,,,117.0,,,,,1014.6,13140.0
46,1983-11,14.5,,,112.0,,,,,1014.1,15780.0
47,1983-12,18.2,,,90.0,,,,,1014.5,14880.0
48,1984-01,18.3,,,185.0,,,,,1010.5,16260.0
49,1984-02,18.9,,,59.0,,,,,1013.1,14880.0
50,1984-03,15.2,,,56.0,,,,,1015.1,14340.0
51,1984-04,13.1,,,97.0,,,,,1020.6,12540.0
52,1984-05,8.7,,,16.0,,,,,1023.4,11760.0
53,1984-06,5.4,,,8.0,,,,,1024.7,11880.0
54,1984-07,5.6,,,89.0,,,,,1017.1,8040.0
55,1984-08,7.3,,,59.0,,,,,1012.4,12240.0
56,1984-09,8.7,,,62.0,,,,,1012.7,11160.0
57,1984-10,12.3,,,43.0,,,,,1018.0,15780.0
58,1984-11,16.5,,,36.0,,,,,1014.5,16260.0
59,1984-12,17.1,,,28.0,,,,,1005.7,19800.0
60,1985-01,20.5,,,3.0,,,,,1009.5,19200.0
61,1985-02,19.3,,,9.0,,,,,1013.5,15240.0
62,1985-03,18.7,,,67.0,,,,,1016.6,13320.0
63,1985-04,13.6,,,24.0,,,,,1017.4,11580.0
64,1985-05,9.7,,,47.0,,,,,1023.7,10500.0
65,1985-06,6.1,,,33.0,,,,,1019.1,10020.0
66,1985-07,4.5,,,24.0,,,,,1021.9,10740.0
67,1985-08,6.7,,,120.0,,,,,1017.5,10800.0
68,1985-09,9.1,,,73.0,,,,,1016.3,12660.0
69,1985-10,12.6,,,63.0,,,,,1015.6,13380.0
70,1985-11,15.5,,,74.0,,,,,1012.8,14160.0
71,1985-12,17.9,,,30.0,,,,,1007.5,17100.0
72,1986-01,19.0,,,49.0,,,,,1010.4,18060.0
73,1986-02,20.3,,,0.0,,,,,1010.7,16800.0
74,1986-03,19.6,,,2.0,,,,,1017.6,15180.0
75,1986-04,14.5,,,57.0,,,,,1018.3,15360.0
76,1986-05,9.8,,,47.0,,,,,1021.3,10740.0
77,1986-06,5.4,,,7.0,,,,,1019.6,10620.0
78,1986-07,5.3,,,89.0,,,,,1018.6,9960.0
79,1986-08,7.1,,,54.0,,,,,,
80,1986-09,9.7,,,34.0,,,,,1016.2,12780.0
81,1986-10,11.1,,,73.0,,,,,1011.4,13860.0
82,1986-11,14.5,,,96.0,,,,,1015.5,13320.0
83,1986-12,16.9,,,21.0,,,,,1014.0,18660.0
84,1987-01,20.5,,,27.0,,,,,1008.4,20700.0
85,1987-02,20.7,,,85.0,,,,,1013.9,15600.0
86,1987-03,15.9,,,30.0,,,,,1016.0,14940.0
87,1987-04,13.6,,,11.0,,,,,1023.9,14280.0
